IndicatorCode,IndicatorName,Language,Category
AIR_3_1,Percent of urban inhabitants living in cities covered by PM measurements,EN,Geographic
E_Group,"Enforcing bans on tobacco advertising, promotion and sponsorship",EN,Tobacco
E13_brand_placement,Ban on appearance of tobacco brands in TV and/or films (product placement),EN,Tobacco
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),EN,Cardiovascular
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),EN,Cardiovascular
Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme,EN,Tobacco
E14_prod_tv_films,Appearance of tobacco products in TV and/or films,EN,Tobacco
E16_csr_promo_self,Ban on tobacco companies/tobacco industry publicizing their “Corporate Social Responsibility” activities,EN,Tobacco
E19_movies_anti_tob_ads,"Required anti-tobacco ads for any visual entertainment media product that depicts tobacco products, use or images",EN,Tobacco
CCO_WHS9_85,Literacy rate among adults aged >= 15 years (%),EN,Socioeconomic
E11_brand_stretching,Ban on non-tobacco goods AND services identified with tobacco brand names,EN,Tobacco
E11_compliance,Compliance of ban on non-tobacco goods AND services identified with tobacco brand names,EN,Tobacco
E12_brand_sharing,Ban on brand name of non-tobacco products used for tobacco product,EN,Tobacco
E12_compliance,Compliance of ban on brand name of non-tobacco products used for tobacco product,EN,Tobacco
E13_compliance,Compliance of ban on appearance of tobacco brands in TV and/or films (product placement),EN,Tobacco
E14_compliance,Compliance of ban on appearance of tobacco products in TV and/or films,EN,Tobacco
E14b_movies_anti_tob_ads,"Requirement to present prescribed anti-tobacco ads before, during or after the broadcasting or showing of any visual entertainment media product that depicts tobacco products, use or images",EN,Tobacco
E14a_prod_tv_films,Ban on appearance of tobacco products in TV and/or films,EN,Tobacco
E15c_sponsor_publicity,"Banning the publicity of financial or other sponsorship or support by the tobacco industry of events, activities, individuals",EN,Tobacco
E17_csr_promo_others,Ban on entities other than tobacco companies/tobacco industry publicizing the Corporate Social Responsibility activities of the tobacco companies,EN,Tobacco
E22_subnational_exists,"Subnational bans on tobacco advertising, promotion and sponsorship",EN,Tobacco
E25_ban_display_pt_of_sale,Ban on display of tobacco products at points of sale,EN,Tobacco
E6b_ban_display_pt_of_sale,Ban on display of tobacco products at points of sale,EN,Tobacco
E9_compliance,Compliance of ban on free distribution of tobacco products in the mail or through other means,EN,Tobacco
E9_free_distrib,Ban on free distribution of tobacco products in the mail or through other means,EN,Tobacco
E21_vending_machines,Complete ban on tobacco vending machines,EN,Tobacco
E24_internet_sales_ban,Ban on internet sales of tobacco products,EN,Tobacco
BP_05,Mean systolic blood pressure (crude estimate),EN,Cardiovascular
BP_06,Mean systolic blood pressure (age-standardized estimate),EN,Cardiovascular
CCO_1,Poverty headcount ratio at $1.25 a day (PPP) (% of population),EN,Socioeconomic
DEVICES03,Total density per 100 000 population: District/rural hospitals,EN,Geographic
FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large  health expenditures as a share of total expenditure or income,EN,Socioeconomic
E18_csr_anti_tobacco_media,"Ban on tobacco companies funding or making contributions (including in-kind contributions) to smoking prevention media campaigns, including those directed at youth",EN,Tobacco
E20_subnational_exists,"Subnational laws or regulations exist banning some or all types of tobacco advertising, promotion and sponsorship",EN,Tobacco
EQ_OVERWEIGHTADULT,Prevalence of overweight and obesity,EN,Obesity Measures
FINPROTECTION_IMP_NP_190_LEVEL_MILLION,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (millions),EN,Socioeconomic
FINPROTECTION_IMP_NP190_POP,Population  pushed below the $1.90 a day  poverty line by household  health expenditures (%),EN,Socioeconomic
FINPROTECTION_IMP_NP_190_LEVEL_SH,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (%),EN,Socioeconomic
NUTRITION_ANT_WHZ_NE2,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",EN,Obesity Measures
NUTOVERWEIGHTNUM,"Overweight numbers among children under 5 years of age (thousands), model-based estimates",EN,Obesity Measures
NUTRITION_2005,Proportion of children aged 6-23 months who receive a minimum acceptable diet,EN,Nutrition/Diet
O_Avail_hlth_clin,Treatment for tobacco dependence available in health clinics or other primary care facilities,EN,Tobacco
O_Avail_community,Treatment for tobacco dependence available in the community,EN,Tobacco
