Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9175988,RS_576,COUNTRY,USA,AMR,YEAR,Americas,,2010,,,,,,,,47 350,47350.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
7028518,RS_576,COUNTRY,NGA,AFR,YEAR,Africa,,2010,,,,,,,,1 170,1170.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4172128,RS_576,COUNTRY,PHL,WPR,YEAR,Western Pacific,,2010,,,,,,,,2 060,2060.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2401646,RS_576,COUNTRY,FIN,EUR,YEAR,Europe,,2010,,,,,,,,47 460,47460.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3685557,RS_576,COUNTRY,GIN,AFR,YEAR,Africa,,2010,,,,,,,,390,390.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
7034950,RS_576,COUNTRY,GUY,AMR,YEAR,Americas,,2010,,,,,,,,2 900,2900.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
7706842,RS_576,COUNTRY,CRI,AMR,YEAR,Americas,,2010,,,,,,,,6 860,6860.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6248968,RS_576,COUNTRY,SWZ,AFR,YEAR,Africa,,2010,,,,,,,,2 930,2930.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1833279,RS_576,COUNTRY,CHL,AMR,YEAR,Americas,,2010,,,,,,,,10 750,10750.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2035044,RS_576,COUNTRY,CHN,WPR,YEAR,Western Pacific,,2010,,,,,,,,4 240,4240.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6128490,RS_576,COUNTRY,BEN,AFR,YEAR,Africa,,2010,,,,,,,,780,780.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9632671,RS_576,COUNTRY,SLV,AMR,YEAR,Americas,,2010,,,,,,,,3 370,3370.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1870943,RS_576,COUNTRY,SUR,AMR,YEAR,Americas,,2010,,,,,,,,7 640,7640.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6445740,RS_576,COUNTRY,AGO,AFR,YEAR,Africa,,2010,,,,,,,,3 960,3960.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3578032,RS_576,COUNTRY,COD,AFR,YEAR,Africa,,2010,,,,,,,,180,180.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3261967,RS_576,COUNTRY,MYS,WPR,YEAR,Western Pacific,,2010,,,,,,,,7 760,7760.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
69830,RS_576,COUNTRY,VNM,WPR,YEAR,Western Pacific,,2010,,,,,,,,1 160,1160.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
7288795,RS_576,COUNTRY,IRL,EUR,YEAR,Europe,,2010,,,,,,,,41 720,41720.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5647277,RS_576,COUNTRY,GBR,EUR,YEAR,Europe,,2010,,,,,,,,38 140,38140.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
8473632,RS_576,COUNTRY,POL,EUR,YEAR,Europe,,2010,,,,,,,,12 450,12450.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6978281,RS_576,COUNTRY,MDA,EUR,YEAR,Europe,,2010,,,,,,,,1 820,1820.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2478170,RS_576,COUNTRY,PNG,WPR,YEAR,Western Pacific,,2010,,,,,,,,1 300,1300.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
8739405,RS_576,COUNTRY,ECU,AMR,YEAR,Americas,,2010,,,,,,,,3 850,3850.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9208439,RS_576,COUNTRY,LUX,EUR,YEAR,Europe,,2010,,,,,,,,76 820,76820.0,,,,2013-06-11T14:13:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
