,CountryCode,Year,BMI,prevalence_of_diabetes,blood_glucose,physical_activity,polluting_cooking_fuel_rate,life_expectancy,basic_sanitation_rate,GDP
0,AFG,2012,10.262612,14.184703,8.0,27.400879,77.1,59.92210578,38.86031,19907329777.5872
1,AGO,2012,8.5220776,12.943757,5.3,18.960588,54.4,59.46233734,43.59147,128052915766.343
2,ALB,2012,17.524008,9.1702878,8.0,21.55283,29.2,77.34194982,96.21027,12246499747.9714
3,AND,2012,16.665833,8.6524323,8.9,30.928501,0.0,77.70981534724532,100.0,3188652765.36184
4,ARE,2012,31.948605,20.597441,6.9,58.49691,0.0,80.30618497,99.1179,384610125391.423
5,ARG,2012,26.258084,9.880197,9.9,35.863937,0.5,76.1760553,93.2268,545982375701.128
6,ARM,2012,20.321731,10.536173,11.6,24.582327,3.2,73.66922093,91.68617,10619320682.9474
7,ASM,2012,72.259849,31.910962,20.928193673741106,39.667047090704585,30.01301613728387,69.85222493079121,79.3236294164739,640000000.0
8,ATG,2012,26.789513,16.949517,11.0,34.238285,0.0,75.66312684,97.37247,1364729629.62963
9,AUS,2012,25.741681,7.3773101,7.2,26.056353,0.0,82.27247326,99.99674,1547532281116.4
10,AUT,2012,14.16579,7.0897318,5.9,25.510675,0.0,80.71875852,99.98231,406750487603.59
11,AZE,2012,21.428685,10.111209,10.6,22.643986,4.8,71.2113018,89.86794,69679944504.1972
12,BDI,2012,2.9680599,5.4654792,2.4,15.046533,99.8,61.17471181,45.92132,2333341334.45753
13,BEL,2012,17.820251,6.6660754,6.4,34.848465,0.0,80.07118579,99.48614,498414364944.961
14,BEN,2012,8.1412867,5.7401687,4.9,17.112991,95.1,61.81459199,14.45171,11141358115.8991
15,BFA,2012,3.7042722,5.3086389,4.0,16.506329,92.9,59.51806294,18.86758,12561015156.5683
16,BGD,2012,2.5124423,13.505219,7.5,20.648369,85.5,72.09310158,43.88689,133310747603.483
17,BGR,2012,17.646722,11.038778,9.9,26.239391,20.152608018682997,74.28202002,85.95203,54297052002.2338
18,BHR,2012,31.65735,13.748959,8.2,35.401333,0.0,74.57322126,99.99246,31963404255.3191
19,BHS,2012,39.772788,16.688022,12.1,37.53923,0.0,72.84562635,93.90227,10720400000.0
20,BIH,2012,17.32462,13.172431,9.1,17.637804,57.0,77.27133436,95.25391,17226735995.6905
21,BLR,2012,20.961779,6.9068611,9.2,15.880728,0.8,72.11133932,96.0032,65685890438.8922
22,BLZ,2012,35.172138,12.404049,9.3,37.457569,16.5,74.18063851,86.25785,1909400000.0
23,BMU,2012,26.382655,20.788382,14.46172744704102,32.5975190224367,32.71584322018873,70.43807086369881,75.94273144497309,6378188000.0
24,BOL,2012,20.496564,11.002632,6.3,21.878553,21.1,71.0361986,51.47074,27084497481.9103
25,BRA,2012,19.121417,8.8968478,7.7,35.867138,5.2,74.28196582,83.54222,2465227802806.76
26,BRB,2012,30.851439,23.237489,13.3,39.887177,0.0,76.23035481,94.85504,5271257500.0
27,BRN,2012,23.280893,12.176163,8.7,29.461521,0.0,76.89700471,87.31447,19048443339.9457
28,BTN,2012,7.0880532,11.529946,8.8,10.429224,27.8,72.45535288,65.66615,1973387227.96519
29,BWA,2012,14.725295,6.1408114,5.7,24.933893,39.5,59.74879487,70.14986,13907464500.1489
30,CAF,2012,5.8877803,14.264417,5.4,17.328238,99.4,49.82204247,17.11216,2510126512.22831
31,CAN,2012,24.65485,8.0035105,7.0,32.082649,0.0,81.49329928,99.34555,1828366481521.6
32,CHE,2012,11.809546,5.3429343,5.5,22.791008,0.0,82.39224777,99.88687,686420221557.99
33,CHL,2012,29.605725,11.725625,10.8,30.47069,0.0,79.58354937,98.027,267024782486.855
34,CHN,2012,4.4872195,8.1821203,8.8,21.457853,36.9,75.48068539,79.46467,8673664713189.24
35,CIV,2012,8.1740722,6.4704612,4.8,21.667362,79.1,58.54983117,29.10965,36302302877.2977
36,CMR,2012,11.753074,7.7814214,4.5,21.003296,79.2,57.77355305,40.67953,30155062329.2821
37,COD,2012,4.3595489,6.7873709,4.0,15.983815,96.6,58.3404554,18.75467,29306235285.2597
38,COG,2012,7.3617645,9.2916757,5.4,18.148672,79.8,61.21875153,17.18433,17692911296.3044
39,COK,2012,62.456352,31.488591,26.1,38.519444,20.1,70.98919528777903,84.22968,386469314878.3688
40,COL,2012,18.152933,9.9401131,7.6,30.469576,13.5,76.94484313,86.06892,370691143018.039
41,COM,2012,10.708262,4.0912129,5.5,12.95751,95.9,66.39715563,34.68993,1015842906.66403
42,CPV,2012,11.324172,7.6747373,6.5,26.642101,28.2,74.4642814,63.95307,1913081210.41411
43,CRI,2012,24.862187,16.140693,8.1,46.205402,6.9,80.42316166,96.40673,47231655431.718
44,CUB,2012,16.31844,12.962276,9.7,48.226879,9.9,78.42125643,87.21322,73141000000.0
45,CYP,2012,21.55879,7.9153553,7.6,41.99638,0.0,81.61972744,99.52844,25047436974.6819
46,CZE,2012,21.837513,8.8676758,9.4,23.186752,0.0,77.96926876,99.13387,210363223087.728
47,DEU,2012,20.467617,10.351488,7.2,15.705011,0.0,80.59346041,99.22476,3597896500945.31
48,DJI,2012,7.1355022,6.2554978,6.0,17.701458,92.7,62.75529104,57.52277,1353632941.5207
49,DMA,2012,24.540721,21.326494,10.8,24.92277,11.4,71.76194674852304,79.11074,520355555.555556
50,DNK,2012,12.545781,3.7876643,6.0,17.88154,0.0,79.96581949,99.59723,326792574244.963
51,DOM,2012,22.295199,11.357193,8.8,32.473068,12.0,73.71953299,83.60015,60561635555.6383
52,DZA,2012,18.755415,12.955166,9.7,26.22971,0.6,75.63920415,87.09354,227143746075.934
53,ECU,2012,20.107205,8.1555679,6.9,21.685707,6.0,75.807667,82.5813,87735048000.0
54,EGY,2012,37.434924,17.68453,15.1,32.293625,0.5,69.82990211,94.99133,279116666666.667
55,ERI,2012,2.6611121,5.9647258,3.2,12.072819,90.8,61.35054403,11.53652,386469314878.3688
56,ESP,2012,18.883239,8.4189944,9.2,30.690443,0.0,81.9595375,99.89191,1330994811670.31
57,EST,2012,20.890988,8.2966648,9.1,14.443569,0.0,76.40758544,99.16029,23237406116.3988
58,ETH,2012,1.4722644,4.7726691,3.7,10.969851,97.0,65.13407348,6.51409,43310721414.0829
59,FIN,2012,19.329432,8.3686195,7.6,16.095907,0.0,80.37588921,99.44801,257443384492.969
60,FJI,2012,27.999824,18.937826,15.5,18.238495,64.3,67.51183712,91.91244,3972028104.47328
61,FRA,2012,11.733142,6.0082279,7.8,30.528387,0.0,81.57752501,98.65394,2683007095787.23
63,FSM,2012,42.357948,28.657621,17.3,35.444424,87.9,65.02895443,74.10253,327248700.0
64,GAB,2012,15.545852,9.6818261,7.8,22.490898,17.0,62.66758728,46.15246,17170464016.0593
65,GBR,2012,24.769516,8.5494019,7.5,27.201212,0.0,80.64107832,99.11602,2707089726614.64
66,GEO,2012,27.198139,11.49641,13.8,19.547159,28.7,72.18519482,87.42938,16894392033.2256
67,GHA,2012,10.238216,5.2264158,4.6,19.230898,82.5,63.16293767,17.10693,41271701060.954
68,GIN,2012,5.8982551,6.1329171,4.5,17.57745,99.2,58.88851718,19.85357,7638044556.84656
69,GMB,2012,9.3643665,7.7504672,5.5,21.622862,97.7,63.20846898,46.4212,1415004738.26621
70,GNB,2012,7.8826956,6.7912497,5.0,18.844078,98.9,56.47290302,15.91256,1049412177.11413
71,GNQ,2012,13.906439,9.7074106,7.2,21.288248,76.1,60.11028327,65.40607,22388344143.9131
72,GRC,2012,24.608271,10.863304,8.9,32.541534,0.0,80.23315335,98.74088,238841140018.233
73,GRD,2012,23.911126,17.033869,9.1,31.546576,8.0,72.68392882,91.8256,799881481.481481
74,GRL,2012,23.253562,6.5860972,6.2049820879560595,23.570019731650163,36.168298573006794,71.18205436995893,71.6261751172885,2609678486.36749
75,GTM,2012,19.993515,14.389014,7.3,22.429865,62.5,71.91726662,66.05359,49593929487.1263
76,GUY,2012,21.393058,16.461225,8.2,30.577602,0.0,66.17236525,84.8881,4063088535.76331
77,HND,2012,22.652227,8.3765969,6.8,32.448509,56.0,68.99495317,75.87036,18528554397.5695
78,HRV,2012,22.972018,10.049555,9.5,20.003172,0.0,77.35911283,96.41401,57551963753.2104
79,HTI,2012,8.3101414,15.986416,6.5,24.950228,96.2,61.52991507,29.26475,13708925477.1304
80,HUN,2012,25.190017,11.759284,9.7,23.631371,0.0,75.11315879,98.00215,128470269689.958
81,IDN,2012,5.9302207,6.4178087,6.6,16.60008,48.5,69.79466506,66.26971,917869913332.649
82,IND,2012,4.1136436,15.375867,7.5,36.222588,60.7,68.2280584,48.68031,1827637590410.41
83,IRL,2012,25.045148,6.3794583,7.0,29.585007,0.0,80.49448401,89.74721,227270922957.327
84,IRN,2012,19.941032,9.9464916,9.4,38.334763,2.9,77.0924022,86.40189,644019315003.54
85,IRQ,2012,34.378171,15.781836,12.3,47.283726,2.9,71.6393156,86.48265,218002476129.472
86,ISL,2012,18.737908,5.3903673,7.0,28.64587,0.0,81.9847692,98.78442,14751508133.5443
87,ISR,2012,21.934195,9.9899866,7.1,30.142286,0.0,81.57002049,99.98846,263589172712.391
88,ITA,2012,16.080904,9.2584915,8.2,42.064499,0.0,81.83712041,99.88564,2097929495121.68
89,JAM,2012,26.378387,16.210064,11.1,33.698746,12.0,74.19029935,85.16995,14807086555.5283
90,JOR,2012,36.277151,15.197231,12.4,27.741018,0.1,77.13092988,97.80773,31634561690.1408
91,JPN,2012,3.8877066,8.9092605,10.0,37.142864,0.0,83.32740995,99.96715,6272362996105.03
92,KAZ,2012,16.077073,8.3363757,10.8,22.655756,7.8,69.67761395,97.53304,207998568865.789
93,KEN,2012,8.1158139,3.6085933,3.8,10.409493,91.2,62.61585724,32.51508,56396704671.5777
94,KGZ,2012,20.080732,8.2358062,7.9,17.942005,26.3,69.96020158,96.03471,6605142884.36215
95,KHM,2012,2.2327077,4.4994663,5.5,13.198256,85.3,67.72268359,44.34106,17826536699.8016
96,KIR,2012,43.17975,19.664402,21.0,36.337936,95.9,61.47703351,41.31816,207001545.867109
97,KNA,2012,38.738459,16.571493,14.0,37.366215,0.0,75.94500257460881,94.29954,824585185.185185
98,KOR,2012,4.1018803,10.186857,9.0,42.579754,0.0,81.13219539,99.94088,1278046536287.01
99,KWT,2012,40.69007,18.370914,14.1,62.39357,0.0,81.34259433,100.0,174047662555.419
100,LAO,2012,4.7175355,5.5181954,5.4,15.638524,95.7,65.52691412,61.63042,10192846339.4029
101,LBN,2012,26.212105,15.390609,11.9,48.187809,6.93776429694563,78.05803939,90.01551,44016799515.7546
102,LBR,2012,10.276173,10.053652,5.3,21.351423,99.6,61.08289847,16.95789,2791614000.0
103,LBY,2012,31.996799,19.995047,12.6,40.443928,11.864906401246145,73.92406847,91.68284,92540938129.1315
104,LCA,2012,26.064301,15.202552,13.3,22.296461,4.2,76.39869599,83.21779,1598207407.40741
105,LKA,2012,5.7161983,15.983354,7.3,27.710354,76.6,75.63306733,86.55296,70447216891.3366
106,LSO,2012,15.891691,4.9803242,5.9,9.3207674,65.7,49.02029182,34.58343,2477702216.26888
107,LTU,2012,23.000419,11.257199,9.3,21.902224,0.0,73.83806492,90.14628,42709372066.8627
108,LUX,2012,18.215747,7.0772655,6.7,19.560333,0.0,81.56608895,97.62759,59776383527.3602
109,LVA,2012,21.687561,8.9268617,9.2,17.149649,0.0,73.86536335,90.58126,27116149948.6683
110,MAR,2012,16.667043,14.672785,11.5,22.82188,2.7,72.78046277,79.80289,106937392311.129
112,MDA,2012,22.915208,8.0071144,8.8,12.839599,5.7,70.25455299,78.26815,8709138634.82921
113,MDG,2012,2.3211032,5.9555825,3.7,14.03514,99.0,62.96002316,9.57498,11578975061.9479
114,MDV,2012,11.218479,6.1156657,8.2,24.361244,3.6,75.84622735,90.32412,2886163997.20531
115,MEX,2012,29.330903,17.487147,9.9,25.303265,15.2,75.6445679,86.31345,1255110424665.92
116,MHL,2012,41.991746,28.62294,20.1,30.378365,38.4,70.123505143848,84.56643,180700000.0
117,MKD,2012,22.195771,9.5351838,8.1,23.614922,29.3,74.93753664,93.48175,9745261300.57788
118,MLI,2012,7.6156639,4.8010219,4.7,33.069065,99.1,59.27099434,32.88169,14891957623.4895
119,MLT,2012,30.308446,12.438929,9.9,47.74416,0.0,80.93951926,99.96467,9609532105.58909
120,MMR,2012,5.2409653,8.1904255,6.2,21.491043,87.0,65.86631653,69.80753,59937796648.2158
121,MNE,2012,14.784779,9.8171972,8.5,20.741526,37.6,76.17609575,93.88979,4087526241.81268
122,MNG,2012,17.636368,7.982178,8.7,16.195513,61.4,67.84058521,59.14789,12292770631.565
123,MOZ,2012,6.0980771,5.3460147,4.4,8.0753956,96.4,53.74174488,23.8737,16688114144.0745
124,MRT,2012,16.192877,7.1632117,6.4,48.957478,57.4,69.09222123,36.02882,6728208836.22143
125,MUS,2012,16.470829,23.379733,13.7,28.377687,1.9,73.69029649,95.07448,11668696396.7887
126,MWI,2012,4.4976622,4.1913595,4.1,6.2456956,97.7,59.42059707,27.4226,8773203178.16512
127,MYS,2012,16.034755,14.881676,9.4,40.803947,4.6,74.61637828,95.02211,314443047642.111
128,NAM,2012,14.024325,7.4652575,5.2,30.488295,58.0,61.49462249,32.87362,13042053591.6857
129,NER,2012,3.935124,5.1309828,4.0,18.840431,98.4,58.92187052,11.42109,9426912647.59111
130,NGA,2012,8.6651377,6.5212384,4.2,19.373688,97.3,60.64324912,36.43093,463971018239.281
131,NIC,2012,27.499872,10.117222,7.7,35.095154,53.0,77.05200653,68.91116,10532017231.8253
132,NIU,2012,61.179197,29.660538,25.2,10.393975,4.3,72.72553001544203,98.75229,386469314878.3688
133,NLD,2012,13.786474,7.4442998,6.0,13.672132,0.0,80.88872584,97.77327,845689017065.625
134,NOR,2012,16.51504,6.7416243,6.6,33.94804,0.0,81.23445235,98.06038,512777309840.997
135,NPL,2012,3.3777904,10.362314,8.7,9.2666655,74.9,69.78951932,48.45818,21703100877.1309
136,NRU,2012,67.379338,22.007905,28.6,39.00428,0.0,69.97305695919314,65.80902,100794924.670417
137,NZL,2012,29.290628,8.8054426,8.4,20.130413,0.0,81.08807722,100.0,176560711239.147
138,OMN,2012,24.863085,13.547802,7.5,36.239124,0.0,73.59906631,97.75339,87408842652.7958
139,PAK,2012,12.738256,16.222927,9.4,36.037735,62.0,64.82124843,53.11896,250106966104.704
140,PAN,2012,26.70013,7.9946555,8.5,47.327953,0.0,77.44906477,75.22407,41595439700.0
141,PER,2012,18.462308,7.4668735,6.6,29.454433,30.6,79.02001015,72.50571,192650021648.583
142,PHL,2012,5.7379015,6.0910199,5.6,28.686451,58.4,69.54178119,73.25699,261920540962.63
143,PLW,2012,39.187428,21.388997,22.2,29.597687,0.0,74.74910746508476,96.32582,215762400.0
144,PNG,2012,16.811723,17.616712,10.9,14.097426,91.8,65.16940213,18.71988,21295168665.7247
145,POL,2012,22.209713,9.1128185,9.1,29.637709,0.0,76.63330274,95.635,498148649702.66
146,PRI,2012,34.566015,23.876666,16.958824099547172,37.793442,0.0,79.34782827,102.58078528747932,101564800000.0
147,PRK,2012,6.6519231,9.3729556,5.9,23.43413,93.2,70.53323819,79.47228,386469314878.3688
148,PRT,2012,18.694066,9.4464347,8.8,47.54388,0.0,80.21024339,98.98661,216536676771.973
149,PRY,2012,24.825747,9.5088542,6.5,29.577728,39.3,75.12046624,84.35752,33271921136.315
150,PSE,2012,34.17764,13.580957,10.835187536458967,35.59536,10.333811173388796,73.09729954,94.82218,12208400000.0
151,PYF,2012,43.025205,15.596111,11.443097550470828,29.297150479818782,33.977962462318914,70.71032117333851,74.36459472082377,5692858099.00217
