,CountryCode,Year,NCD_BMI_30A,NCD_DIABETES_PREVALENCE_CRUDE,NCD_GLUC_03,NCD_PAA,SI_POV_DAY1,WHS5_512,WHOSIS_000001,WSH_SANITATION_BASIC,PHE_HHAIR_PROP_POP_POLLUTING_FUELS
0,WSM,1991.0,38.792646,9.2207804,9.1,,,,,,88.9
1,BRN,2006.0,18.341002,10.593857,7.7,27.775627,,,76.58480393,80.01466,0.0
2,NLD,1996.0,9.8836593,5.759348,4.9,,,,,,0.0
3,VUT,1996.0,15.233731,5.7900809,7.5,,,,,,88.1
4,FRA,2000.0,11.81226,6.2248792,6.9,38.875439,,,78.91105529,98.66303,0.0
5,KWT,1993.0,30.019465,13.097128,9.8,,,,,,0.0
6,BLZ,2000.0,25.5968,7.9649813,7.2,32.537201,,,70.09513226,82.43799,20.4
7,NAM,2013.0,14.267106,7.5527996,5.3,29.873142,,54.0,61.87769769,33.21906,57.2
8,ERI,2016.0,3.3566196,6.4327888,,11.773894,,,62.87736669,11.93997,89.4
9,HRV,2015.0,25.097725,11.083687,,22.305254,0.7,,77.60709528,96.07763,0.0
10,JOR,1995.0,26.393545,10.109694,8.0,,,,,,0.5
11,SAU,2009.0,33.127406,17.095852,11.9,55.861736,,,73.90009021,95.24249,0.0
12,GEO,2002.0,19.936077,10.921294,9.5,15.92415,10.5,,69.8928645,89.33506,51.4
13,GUY,2003.0,15.940037,11.523671,6.3,27.333784,,,64.68058964,79.62289,0.0
14,NIC,1994.0,15.609941,5.2430913,4.9,,,,,,74.4
15,HTI,2000.0,5.4660268,10.471639,4.4,21.784601,,,56.72887807,16.74954,97.4
16,TKL,1990.0,53.490645,21.113354,,,,,,,69.45
17,IRL,2019.0,27.298057,8.6496629,,24.045362,,,81.93976292,89.30739,0.0
18,HND,2007.0,19.231068,6.8158269,5.8,30.409521,17.2,,70.94703187,71.21226,60.4
19,KNA,2001.0,29.574892,11.168169,9.5,32.451557,,,,87.10492,0.0
20,ROU,2018.0,28.959119,13.446663,,32.770191,,,75.12257592,85.69062,0.0
21,USA,1999.0,26.560444,8.686728,7.0,,,,,,0.0
22,CYP,1992.0,15.268935,5.8001,5.4,,,,,,0.0
23,DZA,2018.0,21.786548,16.013613,,27.857637,,,76.4358357,86.30309,0.3
24,USA,2010.0,35.841832,11.411164,8.5,31.922241,1.0,,78.6069239,99.87054,0.0
25,SUR,2014.0,23.962612,17.211819,11.9,44.00243,,,73.05386141,85.80111,9.0
26,STP,2003.0,8.0426253,6.6816993,4.9,17.777092,,,65.23040933,24.10569,99.6
27,BRN,2016.0,26.565963,14.317423,,30.61829,,,76.41822612,92.18101,0.0
28,AFR,2001.0,6.151418,6.0124625,3.8,21.518793,,,53.46919051,25.43434,86.58
29,COK,1990.0,47.341052,17.840976,14.0,,,,,,29.7
30,FJI,2003.0,23.483229,13.29798,11.5,22.436443,,,66.62544107,88.33728,71.2
31,MHL,1998.0,36.991873,24.072069,14.2,,,,,,95.6
32,BWA,2001.0,10.424459,5.6788698,4.5,28.500002,,,46.70431922,53.33124,53.5
33,OMN,1996.0,16.036451,11.268012,6.1,,,,,,0.0
34,TKM,1998.0,10.957767,12.114364,5.2,,,,,,1.0
35,WB_HI,2000.0,16.872069,7.9236321,7.3,30.396435,,,77.53178071,,
36,UZB,2017.0,25.589213,12.544231,,24.834469,,,70.40271496,95.69356,16.8
37,IRL,1996.0,16.653709,4.7844287,5.6,,,,,,0.0
38,CPV,2014.0,12.028439,7.7041432,6.8,27.443453,,,74.86891105,68.23888,25.7
39,SVK,1999.0,14.896353,5.8689065,6.4,,,,,,0.0
40,COM,1994.0,3.9525263,3.7284814,3.3,,,,,,99.8
41,SLE,2002.0,4.1298665,5.7940781,3.6,17.301876,,,51.28114602,8.15826,99.9
42,ARG,2013.0,27.068126,10.036915,10.1,36.087597,0.8,,76.20888199,93.62313,0.4
43,SAU,2022.0,40.599075,15.473062,,51.536118,,,,95.34807,0.0
44,PRY,2003.0,19.069082,7.3246151,5.2,24.841278,8.3,,75.00581985,74.17675,51.3
45,MNE,1996.0,10.431947,6.1082907,6.4,,,,,,33.9
46,CYP,1999.0,17.686556,6.93748,6.4,,,,,,0.0
47,GBR,2002.0,20.457628,6.2745452,6.9,35.964928,,,78.07797235,99.12825,0.0
48,JAM,2002.0,18.605883,9.554252,7.7,28.883869,2.8,,73.03304352,82.92913,22.5
49,PAK,2010.0,11.211558,14.748332,8.9,34.248989,8.3,,64.14819561,49.52441,64.4
50,SGP,2006.0,5.9795879,10.38247,8.6,23.982147,,,80.98074622,100.0,0.0
51,AGO,2012.0,8.5220776,12.943757,5.3,18.960588,,,59.46233734,43.59147,54.4
52,VNM,2009.0,0.63725151,4.501389,4.4,20.823778,,,72.41132963,67.4391,53.95
53,LBR,2013.0,10.732324,9.9423744,5.5,20.491453,,,61.38474407,17.47481,99.6
54,LSO,1996.0,9.2715636,4.7811273,4.3,,,,,,89.4
55,LSO,2017.0,18.181264,5.3342849,,8.4289455,,,51.05416565,44.5813,57.4
56,TON,2019.0,69.06603,21.821351,,30.604177,,,72.94212581,94.52446,16.8
57,CHE,2007.0,11.669863,5.1680751,5.3,25.246826,0.0,,81.59797301,99.88108,0.0
58,IRN,2018.0,22.659856,13.250707,,43.179626,,,77.69013655,89.69886,3.2
59,EST,1998.0,15.81423,5.6354132,8.0,,,,,,0.0
60,DZA,2005.0,15.608558,10.52001,7.6,24.744602,,,74.07853584,85.81226,1.6
61,AND,2003.0,14.707641,8.1454985,8.5,34.726311,,,,100.0,0.0
62,IDN,2014.0,6.7850232,7.2584257,7.0,16.983698,7.9,,70.30298584,70.73942,38.1
63,BEL,1990.0,12.102687,4.2390592,6.7,,,,,,0.0
64,GRL,2016.0,24.654645,6.8822533,,,,,,,
65,AND,1999.0,13.37873,7.1577027,8.4,,,,,,0.0
66,CHE,2013.0,11.801005,5.4011028,5.5,22.322311,0.0,,82.47547076,99.88973,0.0
67,TKL,1992.0,54.804367,23.045596,,,,,,,68.8
68,BTN,2001.0,3.6259249,9.6597269,7.0,12.265848,,,67.18030943,47.26015,69.7
69,NRU,2002.0,66.079575,24.035761,26.4,43.855255,,,,65.56296,0.0
70,PRT,1991.0,11.87014,5.7117119,6.2,,,,,,0.0
71,GLOBAL,1995.0,7.538167,6.7936629,5.4,,,,,,54.095513728
72,LBR,2010.0,9.40644,10.25064,5.0,23.14852,,,60.3582726,15.9512,99.6
73,ATG,2000.0,18.783778,10.824376,7.1,29.888636,,,74.39228457,,0.0
74,TUR,2007.0,27.657998,10.100319,10.4,40.903389,1.4,,76.70654932,91.22864,6.5
75,GHA,2012.0,10.238216,5.2264158,4.6,19.230898,12.0,,63.16293767,17.10693,82.5
76,SRB,2001.0,14.695451,7.9883926,7.0,48.691456,,,72.28188573,95.51504,41.4
77,PER,2006.0,14.723578,4.4732645,5.8,27.261311,13.3,,78.10561579,68.62632,41.3
78,HTI,2013.0,8.5198566,16.495471,6.7,25.234846,,92.0,61.91874198,30.33332,96.2
79,TUV,2020.0,63.097394,13.534212,,25.281424,,,,83.52181,25.0
80,LTU,2000.0,20.087044,8.0859028,8.3,24.207895,,,71.99825868,84.63923,0.0
81,GEO,2018.0,31.733298,11.698015,,22.171453,,,73.81278834,86.63891,13.7
82,POL,2021.0,26.92011,14.265634,,36.182137,,,75.4021086,98.95736,0.0
83,ZAF,2000.0,22.809054,11.03447,6.8,49.421108,35.0,,57.11947907,59.54107,43.3
84,DNK,1999.0,10.288728,3.8492829,6.0,,,,,,0.0
85,PYF,2002.0,38.995057,13.62831,,,,,,,
86,KAZ,2009.0,15.473282,7.9837807,10.0,21.188211,0.2,,68.51597079,97.32708,9.3
87,CAN,2018.0,25.574449,8.7980948,,35.06781,,,81.73382897,98.84154,0.0
88,STP,2020.0,15.301241,13.18381,,17.958372,,,71.25244214,46.44358,96.5
89,GLOBAL,2011.0,11.829347,10.12752,7.9,26.724773,13.7,,70.93277488,68.19797,41.659134931
90,MLI,2019.0,10.006309,5.8311343,,30.569611,,,61.83290988,44.7977,98.9
