,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName
0,1176113,Adult_curr_tob_use,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2022,,,,,,,Data not available,,,,,2023-12-07T16:49:34+01:00,2021-2022,2021-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
1,3274223,Adult_curr_tob_use,COUNTRY,SLB,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2015,,,,,,,55,55.0,,,,2023-12-07T16:49:02+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
2,7966805,Adult_curr_tob_use,COUNTRY,RWA,YEAR,AFR,Africa,SEX,SEX_MLE,2021,,,,,,,10.6,10.6,,,,2023-12-07T16:49:04+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
3,1757159,Adult_curr_tob_use,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2013,,,,,,,7.4,7.4,,,,2023-12-07T16:49:03+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
4,367202,Adult_curr_tob_use,COUNTRY,QAT,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2013,,,,,,,12.5,12.5,,,,2023-12-07T16:49:04+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
5,8245767,Adult_curr_tob_use,COUNTRY,TUV,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2020,,,,,,,16.9,16.9,,,,2023-12-07T16:49:01+01:00,2019-2020,2019-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
6,6622762,Adult_curr_tob_use,COUNTRY,BLZ,YEAR,AMR,Americas,SEX,SEX_FMLE,2015,,,,,,,2.1,2.1,,,,2023-12-07T16:49:04+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
7,5077344,Adult_curr_tob_use,COUNTRY,VUT,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2020,,,,,,,Data not available,,,,,2023-12-07T16:49:33+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
8,7168114,Adult_curr_tob_use,COUNTRY,KNA,YEAR,AMR,Americas,SEX,SEX_MLE,2008,,,,,,,16.2,16.2,,,,2023-12-07T16:49:01+01:00,2007-2008,2007-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
9,8454520,Adult_curr_tob_use,COUNTRY,NRU,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2016,,,,,,,47.7,47.7,,,,2023-12-07T16:49:00+01:00,2015-2016,2015-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
10,5260697,Adult_curr_tob_use,COUNTRY,NER,YEAR,AFR,Africa,SEX,SEX_FMLE,2021,,,,,,,Data not available,,,,,2023-12-07T16:49:33+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
11,3970075,Adult_curr_tob_use,COUNTRY,BRB,YEAR,AMR,Americas,SEX,SEX_BTSX,2012,,,,,,,Data not available,,,,,2023-12-07T16:49:37+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
12,777787,Adult_curr_tob_use,COUNTRY,VCT,YEAR,AMR,Americas,SEX,SEX_FMLE,2014,,,,,,,Data not available,,,,,2023-12-07T16:49:34+01:00,2013-2014,2013-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
13,9979748,Adult_curr_tob_use,COUNTRY,MEX,YEAR,AMR,Americas,SEX,SEX_FMLE,2021,,,,,,,Data not available,,,,,2023-12-07T16:49:35+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
14,7225079,Adult_curr_tob_use,COUNTRY,SMR,YEAR,EUR,Europe,SEX,SEX_FMLE,2013,,,,,,,Data not available,,,,,2023-12-07T16:49:33+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
15,3255326,Adult_curr_tob_use,COUNTRY,AZE,YEAR,EUR,Europe,SEX,SEX_MLE,2020,,,,,,,Data not available,,,,,2023-12-07T16:49:35+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
16,3634800,Adult_curr_tob_use,COUNTRY,ZAF,YEAR,AFR,Africa,SEX,SEX_BTSX,2021,,,,,,,29.4,29.4,,,,2023-12-07T16:49:04+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
17,1119151,Adult_curr_tob_use,COUNTRY,FSM,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2012,,,,,,,Data not available,,,,,2023-12-07T16:49:37+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Prevalence of current tobacco use among adults (%)
