Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName
4615339,E1_nat_tv_radio,COUNTRY,HND,AMR,YEAR,Americas,,2018,,,,,,,,Yes,,,,,2023-10-31T14:39:12+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00,Ban on advertising: National TV and radio
6248713,E1_nat_tv_radio,COUNTRY,PNG,WPR,YEAR,Western Pacific,,2020,,,,,,,,Yes,,,,,2023-10-31T14:38:42+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Ban on advertising: National TV and radio
6730625,E1_nat_tv_radio,COUNTRY,GNB,AFR,YEAR,Africa,,2008,,,,,,,,No,,,,,2023-10-31T14:42:13+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00,Ban on advertising: National TV and radio
3742576,E1_nat_tv_radio,COUNTRY,BRB,AMR,YEAR,Americas,,2014,,,,,,,,No,,,,,2023-10-31T14:43:27+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00,Ban on advertising: National TV and radio
3893991,E1_nat_tv_radio,COUNTRY,LUX,EUR,YEAR,Europe,,2014,,,,,,,,Yes,,,,,2023-10-31T14:39:28+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00,Ban on advertising: National TV and radio
8929190,E1_nat_tv_radio,COUNTRY,TCD,AFR,YEAR,Africa,,2022,,,,,,,,Yes,,,,,2023-10-31T14:41:43+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00,Ban on advertising: National TV and radio
2799563,E1_nat_tv_radio,COUNTRY,AGO,AFR,YEAR,Africa,,2008,,,,,,,,No,,,,,2023-10-31T14:42:55+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00,Ban on advertising: National TV and radio
6134551,E1_nat_tv_radio,COUNTRY,GNQ,AFR,YEAR,Africa,,2010,,,,,,,,No,,,,,2023-10-31T14:41:34+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,Ban on advertising: National TV and radio
3071791,E1_nat_tv_radio,COUNTRY,LKA,SEAR,YEAR,South-East Asia,,2016,,,,,,,,Yes,,,,,2023-10-31T14:43:22+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Ban on advertising: National TV and radio
9764527,E1_nat_tv_radio,COUNTRY,BIH,EUR,YEAR,Europe,,2012,,,,,,,,No,,,,"The three jurisdictions in the country (Federation of Bosnia and Herzegovina, Republika Srpska and Brcko District of Bosnia and Herzegovina) adopted separate tobacco control legislation with several differences.",2023-10-31T14:43:42+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Ban on advertising: National TV and radio
9777023,E1_nat_tv_radio,COUNTRY,LSO,AFR,YEAR,Africa,,2022,,,,,,,,No,,,,,2023-10-31T14:41:22+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00,Ban on advertising: National TV and radio
