Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName
4748586,GDO_q9x4_2,COUNTRY,GUY,AMR,YEAR,Americas,,2017,,,,,,,,Not applicable,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
2060033,GDO_q9x4_2,COUNTRY,FRA,EUR,YEAR,Europe,,2017,,,,,,,,21652,21652.0,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
5614950,GDO_q9x4_2,COUNTRY,FJI,WPR,YEAR,Western Pacific,,2017,,,,,,,,Not applicable,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
3476747,GDO_q9x4_2,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,2017,,,,,,,,Not applicable,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
4292741,GDO_q9x4_2,COUNTRY,MLT,EUR,YEAR,Europe,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
5754827,GDO_q9x4_2,COUNTRY,TTO,AMR,YEAR,Americas,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
10024181,GDO_q9x4_2,COUNTRY,KOR,WPR,YEAR,Western Pacific,,2017,,,,,,,,Not applicable,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
1638494,GDO_q9x4_2,COUNTRY,FIN,EUR,YEAR,Europe,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
5342784,GDO_q9x4_2,COUNTRY,TGO,AFR,YEAR,Africa,,2017,,,,,,,,Not applicable,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
1334594,GDO_q9x4_2,COUNTRY,CAN,AMR,YEAR,Americas,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
