Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName
297706,MSM_CONDOMUSE_PERCENT,COUNTRY,KOR,WPR,YEAR,Western Pacific,,2014,,,,,,DATASOURCE,DATASOURCE_GAM,65.4,65.4,,,Source: Population based survey,2025-03-20T10:33:15.227+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
4013987,MSM_CONDOMUSE_PERCENT,COUNTRY,ARM,EUR,YEAR,Europe,,2021,,,,,,DATASOURCE,DATASOURCE_GAM,79.6,79.6,,,Source: BBS 2021,2025-03-20T10:33:15.227+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
2686513,MSM_CONDOMUSE_PERCENT,COUNTRY,SLE,AFR,YEAR,Africa,,2013,,,,,,DATASOURCE,DATASOURCE_GAM,32.2,32.2,,,,2025-03-20T10:33:15.227+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
4469516,MSM_CONDOMUSE_PERCENT,COUNTRY,BIH,EUR,YEAR,Europe,,2015,,,,,,DATASOURCE,DATASOURCE_GAM,62.4,62.4,,,,2025-03-20T10:33:15.227+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
2812354,MSM_CONDOMUSE_PERCENT,COUNTRY,IRL,EUR,YEAR,Europe,,2015,,,,,,DATASOURCE,DATASOURCE_GAM,54,54.0,,,Source: The Healthy Ireland Survey 2015,2025-03-20T10:33:15.227+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
2661485,MSM_CONDOMUSE_PERCENT,COUNTRY,NGA,AFR,YEAR,Africa,,2011,,,,,,DATASOURCE,DATASOURCE_GAM,51,51.0,,,,2025-03-20T10:33:15.227+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
1984894,MSM_CONDOMUSE_PERCENT,COUNTRY,CHL,AMR,YEAR,Americas,,2016,,,,,,DATASOURCE,DATASOURCE_GAM,42.1,42.1,,,Source: FONDECYT-VIBIMOS – 11140021 Bio-behavioral surveillance for HIV/AIDS in hard-to-reach populations in the Metropolitan Region of Santiago Chile,2025-03-20T10:33:15.227+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
5298039,MSM_CONDOMUSE_PERCENT,COUNTRY,GRC,EUR,YEAR,Europe,,2013,,,,,,DATASOURCE,DATASOURCE_GAM,32,32.0,,,Source: EMIS STUDY 2010,2025-03-20T10:33:15.227+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
360987,MSM_CONDOMUSE_PERCENT,COUNTRY,ESP,EUR,YEAR,Europe,,2011,,,,,,DATASOURCE,DATASOURCE_GAM,59.4,59.4,,,,2025-03-20T10:33:15.227+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
6591209,MSM_CONDOMUSE_PERCENT,COUNTRY,GIN,AFR,YEAR,Africa,,2012,,,,,,DATASOURCE,DATASOURCE_GAM,25.2,25.2,,,Source: ESCOMB 2012,2025-03-20T10:33:15.227+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
