Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName
7231279,SA_0000001727_ARCHIVED,COUNTRY,UKR,EUR,YEAR,Europe,,2012,,,,,,,,No,,,,,2018-09-27T10:22:19+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Sobriety checkpoints
8074390,SA_0000001727_ARCHIVED,COUNTRY,KWT,EMR,YEAR,Eastern Mediterranean,,2012,,,,,,,,,,,,missing data,2018-09-27T10:22:19+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Sobriety checkpoints
8175807,SA_0000001727_ARCHIVED,COUNTRY,THA,SEAR,YEAR,South-East Asia,,2012,,,,,,,,Yes,,,,,2018-09-27T10:22:18+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Sobriety checkpoints
6610098,SA_0000001727_ARCHIVED,COUNTRY,BHS,AMR,YEAR,Americas,,2012,,,,,,,,No,,,,,2018-09-27T10:22:15+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Sobriety checkpoints
3110143,SA_0000001727_ARCHIVED,COUNTRY,POL,EUR,YEAR,Europe,,2012,,,,,,,,No,,,,,2018-09-27T10:22:18+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Sobriety checkpoints
8675607,SA_0000001727_ARCHIVED,COUNTRY,KNA,AMR,YEAR,Americas,,2012,,,,,,,,No,,,,,2018-09-27T10:22:18+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Sobriety checkpoints
6585051,SA_0000001727_ARCHIVED,COUNTRY,VUT,WPR,YEAR,Western Pacific,,2012,,,,,,,,,,,,missing data,2018-09-27T10:22:19+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Sobriety checkpoints
6299981,SA_0000001727_ARCHIVED,COUNTRY,JPN,WPR,YEAR,Western Pacific,,2012,,,,,,,,Yes,,,,,2018-09-27T10:22:17+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Sobriety checkpoints
3097684,SA_0000001727_ARCHIVED,COUNTRY,DNK,EUR,YEAR,Europe,,2012,,,,,,,,Yes,,,,,2018-09-27T10:22:16+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Sobriety checkpoints
1391301,SA_0000001727_ARCHIVED,COUNTRY,KGZ,EUR,YEAR,Europe,,2012,,,,,,,,Yes,,,,,2018-09-27T10:22:17+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Sobriety checkpoints
9081302,SA_0000001727_ARCHIVED,COUNTRY,SLV,AMR,YEAR,Americas,,2012,,,,,,,,No,,,,,2018-09-27T10:22:16+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Sobriety checkpoints
1145150,SA_0000001727_ARCHIVED,COUNTRY,TLS,SEAR,YEAR,South-East Asia,,2012,,,,,,,,Yes,,,,,2018-09-27T10:22:18+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Sobriety checkpoints
3794111,SA_0000001727_ARCHIVED,COUNTRY,TGO,AFR,YEAR,Africa,,2012,,,,,,,,No,,,,,2018-09-27T10:22:18+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Sobriety checkpoints
