Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName
6863556,SA_0000001830,COUNTRY,PRT,EUR,YEAR,Europe,,2016,,,,,,DATASOURCE,DATASOURCE_SA_0000001830_PRT,6.76,6.76,,,,2018-10-26T09:25:47+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Average price 750 mls Wine in US$
1687955,SA_0000001830,COUNTRY,MAR,EMR,YEAR,Eastern Mediterranean,,2016,,,,,,DATASOURCE,DATASOURCE_SA_0000001830_MAR,6.14,6.14,,,,2018-10-26T09:25:47+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Average price 750 mls Wine in US$
8687994,SA_0000001830,COUNTRY,VNM,WPR,YEAR,Western Pacific,,2016,,,,,,DATASOURCE,DATASOURCE_SA_0000001830_VNM,11.74,11.74,,,,2018-10-26T09:25:46+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Average price 750 mls Wine in US$
4919392,SA_0000001830,COUNTRY,GMB,AFR,YEAR,Africa,,2016,,,,,,DATASOURCE,DATASOURCE_SA_0000001830_GMB,5.88,5.88,,,,2018-10-26T09:25:48+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Average price 750 mls Wine in US$
2193140,SA_0000001830,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,2016,,,,,,DATASOURCE,DATASOURCE_SA_0000001830_NPL,5.86,5.86,,,,2018-10-26T09:25:47+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Average price 750 mls Wine in US$
1422635,SA_0000001830,COUNTRY,VEN,AMR,YEAR,Americas,,2016,,,,,,DATASOURCE,DATASOURCE_SA_0000001830_VEN,7.35,7.35,,,,2018-10-26T09:25:48+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Average price 750 mls Wine in US$
2028562,SA_0000001830,COUNTRY,SLV,AMR,YEAR,Americas,,2016,,,,,,DATASOURCE,DATASOURCE_SA_0000001830_SLV,10.51,10.51,,,,2018-10-26T09:25:46+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Average price 750 mls Wine in US$
4077383,SA_0000001830,COUNTRY,MHL,WPR,YEAR,Western Pacific,,2016,,,,,,DATASOURCE,DATASOURCE_SA_0000001830_MHL,25.53,25.53,,,,2018-10-26T09:25:46+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Average price 750 mls Wine in US$
9189059,SA_0000001830,COUNTRY,NGA,AFR,YEAR,Africa,,2016,,,,,,DATASOURCE,DATASOURCE_SA_0000001830_NGA,4.22,4.22,,,,2018-10-26T09:25:48+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Average price 750 mls Wine in US$
2193571,SA_0000001830,COUNTRY,MMR,SEAR,YEAR,South-East Asia,,2016,,,,,,DATASOURCE,DATASOURCE_SA_0000001830_MMR,15.76,15.76,,,,2018-10-26T09:25:46+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Average price 750 mls Wine in US$
