Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName
2345125,SW_PSE_NUM,COUNTRY,BOL,AMR,YEAR,Americas,,2016,,,,,,DATASOURCE,DATASOURCE_GAM,13 100,13100.0,,,Region: National; Method: Programmatic mapping,2025-03-20T10:50:26.277+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Sex workers: Population size estimate (number)
2085126,SW_PSE_NUM,COUNTRY,TJK,EUR,YEAR,Europe,,2011,,,,,,DATASOURCE,DATASOURCE_GAM,12 500,12500.0,,,Region: National; Method: Capture-recapture and Delphi,2025-03-20T10:50:26.277+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,Sex workers: Population size estimate (number)
500084,SW_PSE_NUM,COUNTRY,VNM,WPR,YEAR,Western Pacific,,2013,,,,,,DATASOURCE,DATASOURCE_GAM,71 900,71900.0,,,Region: National ; Source: MOLISA,2025-03-20T10:50:26.277+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,Sex workers: Population size estimate (number)
3982250,SW_PSE_NUM,COUNTRY,LAO,WPR,YEAR,Western Pacific,,2011,,,,,,DATASOURCE,DATASOURCE_GAM,13 500,13500.0,,,,2025-03-20T10:50:26.277+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,Sex workers: Population size estimate (number)
9903479,SW_PSE_NUM,COUNTRY,SSD,AFR,YEAR,Africa,,2022,,,,,,DATASOURCE,DATASOURCE_GAM,45 000,45000.0,,,Region: National; Methods: Unknown; Source: KP workbook,2025-03-20T10:50:26.277+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00,Sex workers: Population size estimate (number)
7973166,SW_PSE_NUM,COUNTRY,TZA,AFR,YEAR,Africa,,2023,,,,,,DATASOURCE,DATASOURCE_GAM,155 800,155800.0,,,Region: National; Method: Capture-recapture and others;,2025-03-20T10:50:26.277+01:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00,Sex workers: Population size estimate (number)
10131556,SW_PSE_NUM,COUNTRY,IDN,SEAR,YEAR,South-East Asia,,2016,,,,,,DATASOURCE,DATASOURCE_GAM,226 800,226800.0,,,Source: Technical report of size estimation of HIV key population 2016,2025-03-20T10:50:26.277+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Sex workers: Population size estimate (number)
8922903,SW_PSE_NUM,COUNTRY,COD,AFR,YEAR,Africa,,2013,,,,,,DATASOURCE,DATASOURCE_GAM,2 878 800,2878800.0,,,Region: Kinshasa Katanga Province Oriental Kasai Oriental Sud Kivu and Bas Congo; Method: Census and Capture-recapture,2025-03-20T10:50:26.277+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,Sex workers: Population size estimate (number)
6477125,SW_PSE_NUM,COUNTRY,ZAF,AFR,YEAR,Africa,,2018,,,,,,DATASOURCE,DATASOURCE_GAM,24 000,24000.0,,,Region: Johannesburg Metro Cape Town Metro Durban Metro; Method: The methods included in the current population size exercise were: (i) the unique object event and service multipliers (ii) successive sampling PSE (SS-PSE) and (iii) a synthesis of the methods using the Anchored Multiplier.  The Anchored Multiplier is a novel Bayesian approach which synthesizes the PSE produced by multipliers coupled to a prior estimate to arrive at a single consensus estimate and a 95% credible interval; Source: Behavioral Surveillance Survey (Respondent driven sampling in 3 Metropolitan cities - Johannesburg Durban and Cape Town),2025-03-20T10:50:26.277+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00,Sex workers: Population size estimate (number)
449697,SW_PSE_NUM,COUNTRY,SGP,WPR,YEAR,Western Pacific,,2016,,,,,,DATASOURCE,DATASOURCE_GAM,800,800.0,,,Region: National,2025-03-20T10:50:26.277+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Sex workers: Population size estimate (number)
